title,company,location,salary,description,experience,employment_type,schedule,working_hours,work_format,link,published_date,skills
Python ML/AI Engineer,Itransition,Не указано,Не указано,"Join our team to work on an innovative AI Assistant application that empowers users across a wide range of roles—sales reps, managers, data scientists, and executives—to interact with structured, semi-structured, and unstructured data using natural language. The Assistant provides insights, executes actions, and supports complex decision-making workflows with minimal user interaction.

Responsibilities:

Develop and integrate LLM-based features using LangChain and OpenAI
Build and optimize RAG pipelines and vector search systems
Collaborate with the team to improve prompt engineering and system performance

Requirements:

Strong experience with Python
Hands-on experience with LangChain and LangGraph
Proficiency in integrating OpenAI API
Solid background in prompt engineering and RAG systems
Experience with embeddings and vector databases

Nice to Have:

Experience with AWS Bedrock
Familiarity with complex agent workflows

We can offer:

Projects for such clients as PayPal, Wargaming, Xerox, Philips, adidas and Toyota
Competitive compensation that depends on your qualification and skills
Career development system with clear skill qualifications
Flexible working hours aligned to your schedule
Options to work remotely
Compensation of medical costs
English courses online
Corporate parties and events for employees and their children
Gym membership compensation, corporate sport competitions (cybersport included)
5 days of paid sick leave per year with no obligation to submit a sick-leave certificate",1–3 года,Полная занятость,График: 5/2,Рабочие часы: 8,"Формат работы: на месте работодателя, удалённо или гибрид",https://almaty.hh.kz/vacancy/119560794?query=ML+Engineer&hhtmFrom=vacancy_search_list,15 апреля 2025,"Python,Английский язык,OpenAI,LangChain,Английский — B2 — Средне-продвинутый"
ML Engineer,ТОО КазСканСервис,Не указано,Не указано,"Обязанности:

Разработка и внедрение ML-моделей для платформы цифровых двойников (предиктивная аналитика, мониторинг оборудования, оптимизация производственных процессов)

Работа с временными рядами, данными датчиков (IoT, SCADA), облаками точек и пространственными данными (LiDAR)

Анализ больших объемов данных для выявления паттернов и аномалий

Интеграция моделей с существующей инфраструктурой платформы

Оценка качества моделей и оптимизация их производительности

Участие в разработке и поддержке архитектуры данных

Парсинг и структурирование данных из открытых и закрытых источников (сайты, API, документация оборудования)

Требования:

Опыт работы от 2 лет в области Data Science / Machine Learning

Глубокое понимание алгоритмов машинного обучения и анализа данных

Опыт работы с временными рядами, предиктивной аналитикой и обнаружением аномалий.

Практический опыт разработки моделей с использованием Python и основных библиотек (pandas, numpy, sklearn, tensorflow/pytorch, XGBoost)

Опыт работы с инструментами для визуализации данных (Plotly, matplotlib, Power BI)

Знание SQL и баз данных (PostgreSQL, MongoDB)

Опыт работы с большими объемами данных и облачными платформами (AWS, Azure) будет преимуществом

Понимание процессов CI/CD, опыт работы с Git

Дополнительные навыки (не обязательно):

Опыт работы с пространственными данными и облаками точек (Potree, Three.js, PDAL)

Опыт интеграции с системами SCADA, MES, ERP

Опыт работы с графовыми базами данных (Neo4j)

Опыт работы в промышленности, строительстве или инфраструктурных проектах

Умение работать с ИИ сервисами (ChatGPT, Claude, Gemini, Perplexity)

Условия:

Работа на передовой технологий: цифровые двойники, AI, 3D-визуализация и крутые промышленные кейсы
Полная свобода действий: твои идеи не будут пылиться в столе, а сразу пойдут в прод!
Офис в инновационном хабе Astana Hub",1–3 года,Полная занятость,График: 5/2,Рабочие часы: 8,Формат работы: на месте работодателя или гибрид,https://almaty.hh.kz/vacancy/119473837?query=ML+Engineer&hhtmFrom=vacancy_search_list,14 апреля 2025,"Python,SQL,REST API,Git,Docker,SCADA,API,Deep Learning,TensorFlow,pandas,Английский язык,Английский — B2 — Средне-продвинутый"
Python-разработчик,Публичная Компания «Freedom Finance Global PLC»,Не указано,Не указано,"Задачи:

Разработка и поддержка веб-приложений на Python с использованием FastAPI;
Проектирование и разработка RESTful;
Интеграция с базами данных (PostgreSQL, Greenplum);
Разработка backend-части для сервиса поиска и рекомендаций;
Оптимизация производительности и масштабируемости сервисов;
Взаимодействие с ML-инженерами и интеграция моделей LLM в backend;
Настройка тестирования и CI/CD процессов;
Документирование API и написание технической документации.

Мы ожидаем от кандидата:

Уверенное владение Python (3.8+), знание FastAPI;
Опыт работы с SQL и ORM (SQLAlchemy, Tortoise-ORM);
Понимание архитектуры веб-приложений (MVC, Microservices, Event-Driven);
Опыт работы с Docker, Kubernetes, CI/CD;
Владение инструментами мониторинга (Prometheus, Grafana);
Умение писать тесты (pytest, unittest).

Будет плюсом:

Опыт работы с брокерами сообщений (RabbitMQ, Kafka, Redis);
Опыт работы с LLM API (OpenAI, Hugging Face, LangChain).

Что мы предлагаем:

Профессиональный коллектив;
Возможность работать над проектами, приносящими пользу для тысяч людей;
Неограниченный рост;
Комфортный офис в центре города;
Скидки на фитнесс, обучение английскому языку, подарки на праздники и дни рождения;
Бонусы и уникальные предложения от компаний холдинга;
Спонсирование профессионального обучения;
Насыщенная корпоративная жизнь с выездами на природу, праздничными мероприятиями в офисе, играми и розыгрышами подарков.",1–3 года,Полная занятость,График: 5/2,Рабочие часы: 8,Формат работы: на месте работодателя,https://almaty.hh.kz/vacancy/118340190?query=ML+Engineer&hhtmFrom=vacancy_search_list,11 апреля 2025,"Python,SQL,Docker,CI/CD,PostgreSQL,Greenplum"
Frontend-разработчик,ТОО КазСканСервис,Не указано,Не указано,"KazScanService развивает QazTWIN — платформу цифровых двойников для промышленности, строительства и смарт-городов. Работаем с лазерными сканами, облаками точек, предиктивной аналитикой и SCADA-системами. Ты будешь частью команды, создающей интерфейсы для реального оборудования.

Обязанности:

Разработка интерфейсов для платформы цифровых двойников (React + TypeScript)

Визуализация 3D-объектов, облаков точек, карт и телеметрии

Интеграция с backend API (REST / WebSocket)

Создание адаптивных и удобных панелей для мониторинга, тикетов, инвентаризации

Внедрение новых UI-компонентов: фильтры, тултипы, режимы отображения, 3D-навигация

Работа с дизайн-системой, компонентами и UI/UX-документацией

Обязательные:

Уверенные знания JavaScript и TypeScript

Опыт работы с React (от 1–2 лет)

Знание HTML5, CSS3, адаптивной вёрстки

Опыт работы с REST API, базовая работа с WebSocket

Опыт использования систем контроля версий (Git)

Понимание архитектуры SPA, состояния (Redux/Zustand/Context)

Желательно:

Опыт или желание работать с WebGL / Three.js / Potree

Базовое понимание работы с 3D-сценами: камеры, освещение, материалы

Навыки работы с карта + 3D (например, CesiumJS, MapboxGL, Leaflet)

Опыт работы с CI/CD, Docker (для локальной сборки и деплоя)

Будет плюсом:

Опыт в проектах из индустрии (Smart City, BIM, IoT, SCADA)

Понимание принципов UX в инженерных системах

Опыт с Tailwind, Material UI, Ant Design

Что мы предлагаем:

Участие в амбициозном проекте цифровых двойников на базе Astana Hub

Возможность роста в направлении 3D и geospatial-визуализации

Работа в команде с ML-инженерами, разработчиками, инженерами LIDAR/SCADA

Гибкий график, минимум бюрократии, максимум технологий

Все нужные ресурсы для прокачки по WebGL / Three.js — если ты пока не работал с этим, научим и поддержим",1–3 года,Полная занятость,График: 5/2,Рабочие часы: 8,Формат работы: на месте работодателя,https://almaty.hh.kz/vacancy/119597087?query=ML+Engineer&hhtmFrom=vacancy_search_list,16 апреля 2025,"JavaScript,TypeScript,React,Redux,API,HTML5,TailwindCSS,REST API,WebGL,Potree,Git,Trello,Docker,Figma,CesiumJS,Three.js,WebSocket,Английский — B2 — Средне-продвинутый"
Middle ML Engineer (NLP),ТОО Documentolog,"Нур-Султан (Астана), проспект Мангилик Ел, 52А",Не указано,"Наша компания ищет специалиста в области NLP для работы на долгосрочной основе.

Обязанности:
- Создание сервисов на базе генеративных AI и классических ML/DL моделей;
- Сбор, обработка и загрузка данных из различных источников (SQL, NoSQL), работа с Дата пайплайнами;
- Разработка и поддержка API микросервисов, в т.ч. для деплоя моделей;
- Следовать современным трендам в области AI/DS;
- Сотрудничать с продуктовыми командами для успешного, своевременного внедрения и обслуживания сервисов;
- Проводить исследования и эксперименты с различными наборами данных;
- Управлять сложными рабочими процессами с данными и развивать экспертизу в предметной области.

Требования:
- Опыт работы не менее 2-х лет, из них:
в сфере Data Science / ML Engineering / Data Engineering не менее 2-х лет;
в сфере Deep Leanring и AI не менее 1 года;
- Практический опыт работы в NLP: обучение, оценка и использование моделей;
- Опыт работы с LLM: prompt engineering, evaluation, fine-tuning и т.д.;
- Опыт построения ETL процессов и интеграции данных из различных источников (БД, API, файловые системы);
- Опыт подготовки, аннотирования и предобработки данных для NLP задач;
- Понимание принципов работы классических ML/DL алгоритмов и моделей;
- Знание Python: умение писать чистый, тестируемый код;
- Знание SQL, Git, Docker, CI/CD.
- Плюс: опыт работы в построении Дата пайплайнов с помощью оркестраторов (Airflow, Dagster и т.д.) и/или распределённых систем (Spark, Hadoop и т.д.)

Условия:

- Оформление по ТК РК;
- Режим работы 5/2, с 09:00 до 18:30, обед с 13:00 до 14:30;
- Дружный коллектив и удобный офис.

Система мотивации:
- Беспроцентные займы: Финансовая поддержка сотрудников, проработавших в компании более 1 года;
- Фантомные акции компании: Сотрудники с опытом работы более 1 года получают возможность получать процент от чистой прибыли компании. Количество фантомных акций увеличивается с каждым годом работы в знак признательности за преданность и лояльность сотрудника.",1–3 года,Полная занятость,График: 5/2,Рабочие часы: 8,Не указано,https://almaty.hh.kz/vacancy/117789224?query=ML+Engineer&hhtmFrom=vacancy_search_list,19 апреля 2025,"Data Science,Machine Learning,Python,SQL,NLP,Английский — B1 — Средний"
MLOps AWS/Data Scientist,ООО Шарп Девелоперс,Не указано,Не указано,"Удаленно, рабочий часовой пояс GMT+4. Нужен хороший устный английский не ниже B2!!!!

О нас:

SHARP DEVELOPERS – разработчик программного обеспечения для мобильных устройств и веб-сайтов для заказчиков из США, Европы и России.

Наши клиенты — компании-разработчики продуктов в различных сферах: финтех, путешествия, спорт, медицина, развлечения, медиа, промышленность. Мы работаем над более чем 30 проектами — выберите для себя интересный!

- Мы распределённая команда и у нас обширная география: кто-то работает в Турции, кто-то в Армении, Грузии, Казахстане, Таджикистане, Беларуси, странах ЕС, с Маврикия, кто-то разбросан по России - все мы встречаемся в общих Slack-чатах, где на русском языке обсуждаем и празднуем вместе важные события онлайн и делимся экспертизой, не вставая с дивана. Офиса нет - он прямо у вас дома, это 100% удалёнка в самом чистом ее виде.

На самих проектах общение (дейли и тд.) полностью на английском - поэтому мы ищем того, кто владеет английским языком на уровне не ниже B2.

В роли Data Scientist вы будете работать над извлечением значимой информации из больших наборов данных, разработкой моделей машинного обучения и созданием векторных баз знаний для улучшения бизнес-процессов и продуктов для наших зарубежных заказчиков (проекта под NDA).

Responsibilities:
To identify three ML models
To prepare data for three ML models
To test the models with the provided data (three iterations)
To prepare a report with ML model results (accuracy, recall, confidence)
To prepare instructions for the models' deployment in the form of PoC

Требования:

Hard:
Machine Learning & AI – Model selection, training, and optimization
Data Preparation & Preprocessing – Cleaning, feature engineering, handling missing values
Model Evaluation & Performance Metrics – Accuracy, recall, confidence, precision, F1-score
Statistical Analysis & Mathematics – Probability, linear algebra, hypothesis testing
ML Model Deployment – Writing PoC documentation, using AWS

Soft:
Problem-Solving – Ability to analyze complex datasets and derive insights
Analytical Thinking – Strong logical and critical thinking skills
Attention to Detail – Ensuring data quality and model accuracy
Communication Skills – Ability to present ML results to both technical and non-technical stakeholders
Collaboration & Teamwork – Working effectively with Architect, Engineers, Analysts, and Business teams
Time Management – Balancing multiple ML iterations and deadlines efficiently
Documentation & Reporting – Writing clear model evaluation reports and PoC deployment guides
Creativity & Innovation – Thinking outside the box for model improvements

Что мы предлагаем:

работа удаленного формата с понедельника по пятницу с гибким началом дня
предоставляется отпуск, оплачиваются больничные

постоянную рабочую практику английского языка в российско-американской команде

телемедицина для Вас и семьи

обучение по технологиям в оплачиваемое рабочее время

погружение в культуру западных компаний, стандарты работы за рубежом.

P.S. При отклике в сопроводительном письме укажите, пожалуйста, информацию:

Ваш username telegram
Локацию пребывания
Ваши зарплатные ожидания

Спасибо!",более 6 лет,Полная занятость,График: 5/2,Рабочие часы: 8,Формат работы: удалённо,https://almaty.hh.kz/vacancy/119483897?query=ML+Engineer&hhtmFrom=vacancy_search_list,14 апреля 2025,"Английский язык,MLflow,Statistical Analysis System,Mathematical Modeling,Amazon Web Services,Английский — B2 — Средне-продвинутый,Русский — B2 — Средне-продвинутый"
Data Scientist,Публичная Компания «Freedom Finance Global PLC»,Не указано,Не указано,"Данная вакансия открыта для Freedom Holding Operations - дочерняя компания Freedom Holding Corp (далее - «Холдинг»).

Образование и опыт:

Высшее образование (бакалавр или выше) в области математики, статистики, компьютерных наук, инженерии или смежных дисциплин.

Обязанности:

Проведение анализа клиентской базы, построение моделей машинного обучения (ML), включая:
Сегментацию клиентов;
Прогнозирование склонности к покупке/оттоку;
Оценку жизненной ценности клиента (LTV).
Разработка и усовершенствование рекомендательных систем.
Проведение глубокого анализа данных и выявление ключевых инсайтов для поддержки принятия управленческих решений.
Взаимодействие с бизнес-заказчиками для формирования подходов к решению задач с использованием инструментов ML, включая полную разработку ML-сервисов (end-to-end).
Построение предиктивных моделей и внедрение их в производственные среды.
Мониторинг эффективности моделей, их дообучение и корректировка.

Технические навыки:

Отличное владение Python.
Опыт работы с библиотеками для анализа данных и машинного обучения:
NumPy, pandas, scikit-learn, TensorFlow, PyTorch.
Уверенное владение SQL для извлечения и обработки данных.
Навыки работы с большими наборами данных.
Опыт построения и оценки моделей машинного обучения (регрессия, классификация, кластеризация).
Управление жизненным циклом моделей машинного обучения (автоматизация, оптимизация, переобучение и обновление).

Навыки работы с нейросетями:

Опыт работы с PyTorch.
Знание различных архитектур нейронных сетей (например, CNN, RNN, LSTM).
Владение методами предварительной обработки данных и инженерии признаков (feature engineering).
Опыт настройки гиперпараметров и оптимизации моделей.

Аналитические и профессиональные навыки:

Знание статистических методов и умение проверять гипотезы.
Умение доступно объяснять сложные технические концепции для различных аудиторий.
Способность эффективно работать в команде и взаимодействовать с коллегами.
Навыки управления проектами и постановки задач.",1–3 года,Полная занятость,График: 5/2,Рабочие часы: 8,Формат работы: гибрид,https://almaty.hh.kz/vacancy/118976434?query=ML+Engineer&hhtmFrom=vacancy_search_list,31 марта 2025,Не указано
Senior Data Science Engineer,ТОО DIGITAL TEAM (ДИДЖИТЛ ТИМ),Не указано,Не указано,"DigitalTeam is hiring. We are a worldwide software service provider and currently looking for a Senior Data Science Engineer who can build a simulator.

Requirements:

- Bachelor’s degree in Computer Science, Engineering, or related field;

- Emphasis on Databricks and Jupyter Notebooks;

- Experience with Python, Pyspark and machine learning applications;

- Expertise in predictive modeling especially Deep Learning Models such as LSTM or Ensembles;

- Knowledge of XGBoost (Extreme Gradient Boosting);

- Ability to assess the correlation vs. causality in the predictions to ensure they make sense;

- A strong understanding of ML Ops;

- Strong problem-solving skills and attention to detail.

Responsibilities:

- Evaluate data to discover trends and patterns to improve and automate analysis;

- Migrate and import data from a variety of sources into a central database;

- Independently mine data and optimize processes;

- Apply advanced scientific knowledge to projects;

- Determine priorities for experiments;

- Utilize numerous analytical instruments.

Benefits:

- Official employment;

- Flexible work schedule;

- Professional growth and development with friendly team;

- Remote work;

- Detailed onboarding.",более 6 лет,Полная занятость,График: 5/2,Рабочие часы: 8,Формат работы: удалённо,https://almaty.hh.kz/vacancy/119587854?query=ML+Engineer&hhtmFrom=vacancy_search_list,16 апреля 2025,"Python,SQL,Английский язык,Azure,Databases"
ML Engineer,"GuardinAI, Inc",Не указано,Не указано,"We are seeking a highly motivated and skilled Machine Learning Engineer to join our team

focused on training and deploying machine learning models and fine-tuning large language

models (LLMs). This role will be central to developing efficient, scalable, and domain-specific

ML/LLM solutions that power our AI products.

Responsibilities:

• Design, implement, and optimize training pipelines for small-scale machine learning models

(e.g., decision trees, gradient boosting, small neural nets, CNN).

• Fine-tune large pre-trained language models (e.g., LLaMA, Mistral, Qwen, GPT) for specific

tasks using supervised learning, reinforcement learning (RLHF), or parameter-efficient

techniques (LoRA, QLoRA, PEFT).

• Conduct dataset preparation, preprocessing, and augmentation for both small and large

models.

• Perform hyperparameter tuning and model evaluation using appropriate metrics.

• Monitor and optimize model performance, inference speed, and memory footprint.

• Contribute to internal tools and libraries that streamline ML experimentation and deployment.

Requirements:

• Strong programming skills in Python and experience with ML frameworks like PyTorch,

HuggingFace Transformers, or scikit-learn.

• Experience in training and fine-tuning large language models using modern toolkits (e.g.,

PEFT, DeepSpeed, FSDP).

• Familiarity with distributed training, mixed-precision training, and checkpoint management.

• Solid understanding of ML fundamentals, including model selection, training/validation

workflows, and performance evaluation.

• Hands-on experience with data handling, feature engineering, and synthetic data generation.

• Working knowledge of experiment tracking tools (Weights & Biases).

• Familiarity with cloud environments (AWS, GCP, Azure) or on-premise GPU clusters.

• Strong problem-solving skills and ability to work independently in a fast-paced environment.

Nice to Have:

• Experience with retrieval-augmented generation (RAG), prompt tuning, or instruction tuning.

• Exposure to quantization and model compression techniques.• Experience with deploying ML models using APIs or serving frameworks (e.g., FastAPI, Triton

Inference Server).",1–3 года,"Полная занятость
Возможно временное оформление",График: 5/2,Рабочие часы: 7,Формат работы: гибрид,https://almaty.hh.kz/vacancy/119304454?query=ML+Engineer&hhtmFrom=vacancy_search_list,9 апреля 2025,Не указано
"Tech Lead, Управление аналитики и моделирования",АО Jusan Bank,Не указано,Не указано,"Обязанности:

Подготовка данных и переменных для моделирования, Feature Selection, Feature Engineering;
Создание ML-моделей, построение скоринговых карт;
Организация работ по разработке целевых показателей кредитного риска / моделей доходности;
Валидация / бэк тестирование / рекалибровка скоринговых моделей;
Мониторинг качества и стабильности действующих моделей;
Организация работ по имплементации моделей во внутренней инфраструктуре Банка (включая разработку стратегий внедрения, определение уровня отсечений и проведение тестирования), мониторинг результатов и основных метрик качества моделей;
Моделирование различных ситуаций для повышения УО / снижение уровня риска (проведение симуляций);
Участие в работе по контролю над кредитным риском путем анализа и мониторинга качества ссудного портфеля/поколений выдач, а также через выработку рекомендаций по улучшению структуры и качества портфеля на основе выявленных кредитных рисков и рассчитанных параметров, диверсификации кредитных рисков;
Курировать сотрудников по направлению моделирования и созданию скоринговых карт.

Требования:

высшее (специальность: экономическая, математическая, техническая);
Знание методов статистического анализа;
Сильные аналитические способности;
Понимание специфики работы с большими данными. Умение генерировать, рассчитывать и проверять гипотезы;
Опыт в построении скоринговых моделей и моделей машинного обучения;
Понимание и применение метрик качества моделей для проверки точности и устойчивости скоринговых карт;
Понимание процессов создания выборок, переменных для моделирования, определения целевой переменной;
Глубокие знания портфельного анализа и управления рисками на уровне портфелей и продуктов;
Английский на уровне свободного чтения технической документации;
Продвинутый опыт в написании SQL запросов (запросы, аналитические функции);
Знание Python, уверенное владение библиотеками pandas, scikit-learn, XGBoost, LightGBM;
Владение Apache AirFlow.

Условия:

Ежеквартальные премии;
Корпоративные предложения по фитнесу;
Корпоративные скидки на онлайн обучение в Skyeng для вас и ваших близких;
Бесплатная подписка на онлайн библитеку «Альпина Паблишер»;
Приятная рабочая атмосфера в современном офисе в деловой части города;
Возможность строить карьеру в одном из крупнейших банков Казахстана.",3–6 лет,Полная занятость,График: 5/2,Рабочие часы: 8,Формат работы: на месте работодателя,https://almaty.hh.kz/vacancy/118612376?query=ML+Engineer&hhtmFrom=vacancy_search_list,17 апреля 2025,Не указано
Data Scientist по направлению Антифрод/anti-fraud,Публичная Компания «Freedom Finance Global PLC»,Не указано,Не указано,"Образование и опыт:

Высшее образование (бакалавр или выше) в области математики, статистики, компьютерных наук, инженерии или смежных дисциплин.

Обязанности:

Проведение анализа клиентской базы, построение моделей машинного обучения (ML), включая:
Сегментацию клиентов;
Выявление аномальностей сделок, доходности, убытков.
Создание ML-моделей.
Валидация / бэк - тестирование / рекалибровка моделей.
Проведения тестирования на предмет корректного внедрения моделей.
Мониторинг качества и стабильности действующих моделей.
Внедрение моделей в production.
Взаимодействие с бизнес-заказчиком для формирования подходов к решению задач с использованием инструментов ML, включая полную разработку ML-сервисов (end-to-end).
Построение предиктивных моделей и внедрение их в производственные среды.

Технические навыки:

Отличное владение Python.
Опыт работы с библиотеками для анализа данных и машинного обучения:
NumPy, pandas, scikit-learn.
Уверенное владение SQL для извлечения и обработки данных.
Навыки работы с большими наборами данных.
Опыт построения и оценки моделей машинного обучения (регрессия, классификация, кластеризация).
Управление жизненным циклом моделей машинного обучения (автоматизация, оптимизация, переобучение и обновление).

Аналитические и профессиональные навыки:

Знание статистических методов и умение проверять гипотезы.
Способность эффективно работать в команде и взаимодействовать с коллегами.

Навыки тайм-менеджмента и сроки сдачи задач.

Условия:

Свободу в принятии решений и возможность карьерного роста в активно развивающейся международной компании.

Интересные и разнообразные задачи и проекты, которые позволяют напрямую влиять на бизнес и развитие продуктов.

Работа в дружелюбной и динамичной команде профессионалов.

Комфортабельный офис в БЦ «Есентай Тауэр».

Постоянное обучение, тренинги, возможность посещения профильных конференций и корпоративные мероприятия.

Различные бенефиты и уникальные предложения на продукты компаний Freedom Holding Corp.",3–6 лет,Полная занятость,График: 5/2,Рабочие часы: 8,Формат работы: на месте работодателя,https://almaty.hh.kz/vacancy/119147559?query=ML+Engineer&hhtmFrom=vacancy_search_list,4 апреля 2025,Не указано
Data Scientist,ТОО IBA Astana Dev (АйБиЭй Астана Дев),Не указано,Не указано,"We are looking to hire a results-driven Data Scientist with production-level ML experience and strong cloud skills to join our team.

Responsibilities:

Deliver full-cycle machine learning solutions, including exploratory data analysis (EDA), model training and tuning, feature engineering, model validation and interpretation;

Work with large-scale datasets in Databricks / Spark environments;

Deploy models to production using MLflow / MLOps pipelines;

Build dashboards and data visualizations (Power BI, Tableau);

Operate in cloud-based environments (Azure, AWS, or GCP) using storage, pipelines, orchestration tools;

Participate in client meetings, translate business problems into ML tasks, present and defend models;

Maintain and retrain models as needed.

Requirements:

5+ years of experience in Data Science / ML roles;

Deployed ML models into production, not just POCs or academic projects;

Can explain architecture and model logic to non-technical stakeholders;

Understanding of the full ML lifecycle — from raw data to dashboard;

English B2 level and higher;

Tech Stack:

Languages: Python (pandas, numpy, scikit-learn, matplotlib), SQL

Platforms: Azure, AWS, GCP, Databricks

Tools: MLflow, Spark, Synapse Analytics, Power BI, Tableau

Methods: classification, regression, clustering, time series

Processes: CI/CD, MLOps, Git, Jira, Agile/Scrum

Nice to also have:

Experience with Generative AI, NLP, LLMs

Familiarity with Spark SQL / Delta Lake

Background in consulting or multi-domain project work

Conditions:

Official employment under the Labor Code of Kazakhstan

Remote format with an option to work from the office

International projects and team",более 6 лет,Полная занятость,График: 5/2,Рабочие часы: 8,Формат работы: удалённо,https://almaty.hh.kz/vacancy/119694168?query=ML+Engineer&hhtmFrom=vacancy_search_list,18 апреля 2025,Не указано
Senior ML Engineer,АО Банк ЦентрКредит,Не указано,Не указано,"О НАС:

Наша команда Data Science и Аналитики данных активно развивается и расширяется, в связи с чем мы ищем сильного инженера, который сможет построить окружение, в котором будут жить и развиваться сервисы, в т.ч. у которых под капотом алгоритмы ML.

ЧТО НУЖНО БУДЕТ ДЕЛАТЬ:

Строить и поддерживать инфраструктуру для ML;
Внедрять инструменты для управления экспериментами и данными;
Организовывать выкатку моделей и микросервисов, помогать управлять жизненным циклом моделей;
Управлять потоками данных - разговаривать с data инженерами, строить streaming для продуктов DS, следить за качеством;
Выстраивать процессы, связанные с поддержанием качества (отказоустойчивость, масштабирование, нагрузка и т.п.) того, что получилось;
Экспериментировать с новыми инструментами, решениями и подходами, чтобы понять, насколько оно нам будет полезно.

МЫ РАССЧИТЫВАЕМ, ЧТО У ТЕБЯ ЕСТЬ ОПЫТ И ЗНАНИЯ ДЛЯ ЭТОЙ ПОЗИЦИИ:

Отличное знание алгоритмов ML и глубокого обучения (PyTorch, TensorFlow, scikit-learn);
Уверенные навыки работы с данными: предобработка, feature engineering, анализ.ИНЖЕНЕРНЫЙ СТЕК:
Опыт разработки на Python, знание SQL;
Владение MLOps-инструментами (Docker, MLflow, Airflow, CI/CD);
Опыт внедрения моделей в продакшн, мониторинг, A/B тесты.",1–3 года,Полная занятость,График: 5/2,Рабочие часы: 8,Не указано,https://almaty.hh.kz/vacancy/119442940?query=ML+Engineer&hhtmFrom=vacancy_search_list,20 апреля 2025,"Python,Работа с базами данных"
"Старший инженер по планированию и оптимизации метро сети, г. Алматы",АО Kcell,Не указано,Не указано,"Обязанности:
Планирование новых сайтов РРЛ
Своевременное предоставление данных для запуска новых, репланированных БС. 234г
Контроль и своевременное реагирование на аварии в кластере по ТР
Контроль проектов по спутниковым сайтам, плюс переключение оставшихся
Своевременное предоставление ответов на запросы от ЦА.
Планируемый свап роутеров IPBB в регионах (~120 шт.)
Полное содействие подрядчику в момент работ по переключению замене железа на новые линейки ML66XX.
Открытие ревизионных работ по ТР.
Запрос TSD на новые, существующие пролёты.
Анализ и предоставление данных по FIX (возможные выезды).
Анализ и запрос на расширение VPN каналов (регионы).
Запрос ТУ у КЗТ, КТР на подвес РРЛ, подготовка АВТУ.
Учёт оптических данных ВОЛС
Полная ревизия и актуализация оптических линий
Переезд оптических сайтов
Организация тёмных пар, соединений во ВОЛС (Интерконнект, тёмные пары)
Подключение новых стыков, линков (ВОЛС-РРЛ)
Планирование новых линий ВОЛС
Требования:

Высшее техническое. Специализация: радиотехника, телекоммуникации, связь, IT. Стаж работы:
Не менее 3 лет в области телекоммуникаций и связи",1–3 года,Полная занятость,График: 5/2,Рабочие часы: 8,Не указано,https://almaty.hh.kz/vacancy/119470509?query=ML+Engineer&hhtmFrom=vacancy_search_list,14 апреля 2025,"L2 VPN,ВОЛС,ML66XX.,MS PowerPoint,Linux,TSD,РРЛ,L3 VPN,VPN"
